Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo,Length
Maeda,22,3,1960,Pygmy,70,Male,No,-49,70,Unknown,36,36,No,Yes,NA,NA,21.336000000000002
Maeda,22,3,1960,Pygmy,73,Male,No,-49,70,Unknown,31,31,No,Yes,NA,NA,22.250400000000003
Maeda,22,3,1960,Pygmy,70,Female,No,-49,70,Unknown,29,29,No,Yes,NA,NA,21.336000000000002
Maeda,22,3,1960,Pygmy,73,Male,No,-49,70,Unknown,34,34,No,Yes,NA,NA,22.250400000000003
Maeda,22,3,1960,Pygmy,72,Female,Yes,-49,70,Mature,23,23,No,Yes,NA,NA,21.945600000000002
Maeda,23,3,1960,Pygmy,75,Female,No,-49,70,Unknown,20,20,No,Yes,NA,NA,22.86
Maeda,23,3,1960,Pygmy,71,Male,No,-49,70,Unknown,19,19,No,Yes,NA,NA,21.640800000000002
Maeda,23,3,1960,Pygmy,71,Female,Yes,-49,70,Mature,20,20,No,Yes,NA,NA,21.640800000000002
Maeda,23,3,1960,Pygmy,78,Female,No,-49,70,Unknown,19,19,No,Yes,NA,NA,23.7744
Maeda,23,3,1960,Pygmy,68,Male,No,-49,70,Unknown,11,11,No,Yes,NA,NA,20.7264
Maeda,23,3,1960,Pygmy,72,Male,No,-49,70,Unknown,16,16,No,Yes,NA,NA,21.945600000000002
Maeda,23,3,1960,Pygmy,73,Female,No,-49,70,Unknown,16,16,No,Yes,NA,NA,22.250400000000003
Maeda,23,3,1960,Pygmy,71,Female,No,-49,70,Unknown,38,38,No,Yes,NA,NA,21.640800000000002
Maeda,23,3,1960,Pygmy,70,Male,No,-49,70,Unknown,15,15,No,Yes,NA,NA,21.336000000000002
Maeda,23,3,1960,Pygmy,74,Male,No,-49,70,Unknown,20,20,No,Yes,NA,NA,22.555200000000003
Maeda,23,3,1960,Pygmy,71,Male,No,-49,70,Unknown,16,16,No,Yes,NA,NA,21.640800000000002
Maeda,23,3,1960,Pygmy,72,Male,No,-49,70,Unknown,39,39,No,Yes,NA,NA,21.945600000000002
Maeda,23,3,1960,Pygmy,75,Male,No,-49,70,Unknown,21,21,No,Yes,NA,NA,22.86
Maeda,23,3,1960,Pygmy,76,Female,Yes,-49,70,Mature,21,21,No,Yes,NA,NA,23.1648
Maeda,24,3,1960,Pygmy,73,Female,No,-49,70,Unknown,22,22,No,Yes,NA,NA,22.250400000000003
Maeda,24,3,1960,Pygmy,70,Female,Yes,-49,70,Mature,21,21,No,Yes,NA,NA,21.336000000000002
Maeda,24,3,1960,Pygmy,72,Female,No,-49,70,Unknown,20,20,No,Yes,NA,NA,21.945600000000002
Maeda,24,3,1960,Pygmy,72,Female,No,-49,70,Unknown,16,16,No,Yes,NA,NA,21.945600000000002
Maeda,24,3,1960,Pygmy,73,Female,No,-49,70,Unknown,23,23,No,Yes,NA,NA,22.250400000000003
Maeda,24,3,1960,Pygmy,77,Female,No,-49,70,Unknown,30,30,No,Yes,NA,NA,23.4696
Maeda,24,3,1960,Pygmy,75,Female,No,-49,70,Unknown,19,19,No,Yes,NA,NA,22.86
Maeda,24,3,1960,Pygmy,74,Female,Yes,-49,70,Mature,22,22,No,Yes,NA,NA,22.555200000000003
Maeda,24,3,1960,Pygmy,73,Male,No,-49,70,Unknown,17,17,No,Yes,NA,NA,22.250400000000003
Maeda,24,3,1960,Pygmy,69,Male,No,-49,70,Unknown,21,21,No,Yes,NA,NA,21.031200000000002
Maeda,24,3,1960,Pygmy,70,Male,No,-49,70,Unknown,27,27,No,Yes,NA,NA,21.336000000000002
Maeda,24,3,1960,Pygmy,73,Female,No,-49,70,Unknown,22,22,No,Yes,NA,NA,22.250400000000003
Maeda,24,3,1960,Pygmy,71,Male,No,-49,70,Unknown,21,21,No,Yes,NA,NA,21.640800000000002
Maeda,24,3,1960,Pygmy,73,Male,No,-49,70,Unknown,20,20,No,Yes,NA,NA,22.250400000000003
Maeda,24,3,1960,Pygmy,76,Male,No,-49,70,Unknown,34,34,No,Yes,NA,NA,23.1648
Maeda,24,3,1960,Pygmy,70,Female,Yes,-49,70,Mature,22,22,No,Yes,NA,NA,21.336000000000002
Maeda,25,3,1960,Pygmy,70,Male,No,-48,70,Unknown,18,18,No,Yes,NA,NA,21.336000000000002
Maeda,25,3,1960,Pygmy,70,Female,No,-48,70,Unknown,18,18,No,Yes,NA,NA,21.336000000000002
Maeda,25,3,1960,Pygmy,70,Female,No,-48,70,Unknown,13,13,No,Yes,NA,NA,21.336000000000002
Maeda,25,3,1960,Pygmy,71,Female,No,-48,70,Unknown,24,24,No,Yes,NA,NA,21.640800000000002
Maeda,25,3,1960,Pygmy,75,Female,Yes,-48,70,Mature,28,28,No,Yes,NA,NA,22.86
Maeda,25,3,1960,Pygmy,73,Male,No,-48,70,Unknown,32,32,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,77,Male,No,-48,70,Unknown,15,15,No,Yes,NA,NA,23.4696
Maeda,25,3,1960,Pygmy,76,Female,No,-48,70,Unknown,26,26,No,Yes,NA,NA,23.1648
Maeda,25,3,1960,Pygmy,77,Female,No,-48,70,Unknown,21,21,No,Yes,NA,NA,23.4696
Maeda,25,3,1960,Pygmy,73,Male,No,-48,70,Unknown,19,19,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,72,Male,No,-48,70,Unknown,19,19,No,Yes,NA,NA,21.945600000000002
Maeda,25,3,1960,Pygmy,74,Male,No,-48,70,Unknown,22,22,No,Yes,NA,NA,22.555200000000003
Maeda,25,3,1960,Pygmy,73,Male,No,-48,70,Unknown,20,20,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,71,Male,No,-48,70,Unknown,16,16,No,Yes,NA,NA,21.640800000000002
Maeda,25,3,1960,Pygmy,72,Female,No,-48,70,Unknown,25,25,No,Yes,NA,NA,21.945600000000002
Maeda,25,3,1960,Pygmy,70,Male,No,-48,70,Unknown,28,28,No,Yes,NA,NA,21.336000000000002
Maeda,25,3,1960,Pygmy,71,Male,No,-48,70,Unknown,12,12,No,Yes,NA,NA,21.640800000000002
Maeda,25,3,1960,Pygmy,73,Male,No,-48,70,Unknown,28,28,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,73,Male,No,-48,70,Unknown,51,51,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,72,Male,No,-48,70,Unknown,12,12,No,Yes,NA,NA,21.945600000000002
Maeda,26,3,1960,Pygmy,70,Female,No,-48,69,Unknown,5,5,No,Yes,NA,NA,21.336000000000002
Maeda,26,3,1960,Pygmy,72,Male,No,-48,69,Unknown,20,20,No,Yes,NA,NA,21.945600000000002
Maeda,26,3,1960,Pygmy,72,Female,No,-48,69,Unknown,24,24,No,Yes,NA,NA,21.945600000000002
Maeda,25,3,1960,Pygmy,78,Female,No,-53,74,Unknown,33,33,No,Yes,NA,NA,23.7744
Maeda,25,3,1960,Pygmy,73,Female,Yes,-53,74,Mature,22,22,No,Yes,NA,NA,22.250400000000003
Maeda,25,3,1960,Pygmy,70,Male,No,-53,74,Unknown,4,4,No,Yes,NA,NA,21.336000000000002
Maeda,26,3,1960,Pygmy,73,Male,No,-49,70,Unknown,9,9,No,Yes,NA,NA,22.250400000000003
Maeda,26,3,1960,Pygmy,72,Female,No,-49,70,Unknown,42,42,No,Yes,NA,NA,21.945600000000002
Maeda,26,3,1960,Pygmy,73,Female,No,-49,70,Unknown,9,9,No,Yes,NA,NA,22.250400000000003
Maeda,26,3,1960,Pygmy,71,Female,No,-49,70,Unknown,7,7,No,Yes,NA,NA,21.640800000000002
Maeda,26,3,1960,Pygmy,72,Male,No,-49,70,Unknown,8,8,No,Yes,NA,NA,21.945600000000002
Maeda,26,3,1960,Pygmy,71,Male,No,-49,70,Unknown,22,22,No,Yes,NA,NA,21.640800000000002
Maeda,26,3,1960,Pygmy,77,Female,No,-49,70,Unknown,25,25,No,Yes,NA,NA,23.4696
Maeda,26,3,1960,Pygmy,70,Male,No,-49,70,Unknown,18,18,No,Yes,NA,NA,21.336000000000002
Maeda,26,3,1960,Pygmy,68,Male,No,-49,70,Unknown,6,6,No,Yes,NA,NA,20.7264
Maeda,9,2,1961,Pygmy,70,Female,No,-47,39,Unknown,15,15,No,Yes,NA,NA,21.336000000000002
Maeda,9,2,1961,Pygmy,72,Male,No,-47,39,Unknown,20,20,No,Yes,NA,NA,21.945600000000002
Maeda,9,2,1961,Pygmy,71,Female,No,-47,39,Unknown,20,20,No,Yes,NA,NA,21.640800000000002
Maeda,9,2,1961,Pygmy,71,Male,No,-47,39,Unknown,11,11,No,Yes,NA,NA,21.640800000000002
Maeda,9,2,1961,Pygmy,71,Male,No,-47,39,Unknown,13,13,No,Yes,NA,NA,21.640800000000002
Maeda,9,2,1961,Pygmy,73,Male,No,-47,39,Unknown,31,31,No,Yes,NA,NA,22.250400000000003
Maeda,9,2,1961,Pygmy,73,Male,No,-47,39,Unknown,26,26,No,Yes,NA,NA,22.250400000000003
Maeda,9,2,1961,Pygmy,72,Male,No,-47,39,Unknown,17,17,No,Yes,NA,NA,21.945600000000002
