Source,Day,Mon,Yr,BluePopulation,LengthFT,Sex,Pregnant,Latitude,Longitude,Maturity,OriginalAge,Age,MinAge,AccurateAge,TotalCorpora,MarkNo
Maeda,24,3,1960,Pygmy,70,M,No,-49,70,Unknown,16,16,Yes,No,NA,
Maeda,24,3,1960,Pygmy,73,M,No,-49,70,Unknown,17,17,No,Yes,NA,
Maeda,24,3,1960,Pygmy,69,M,No,-49,70,Unknown,21,21,No,Yes,NA,
Maeda,24,3,1960,Pygmy,70,M,No,-49,70,Unknown,27,27,No,Yes,NA,
Maeda,24,3,1960,Pygmy,76,F,No,-49,70,Unknown,16,16,Yes,No,NA,
Maeda,24,3,1960,Pygmy,73,F,No,-49,70,Unknown,22,22,No,Yes,NA,
Maeda,24,3,1960,Pygmy,71,M,No,-49,70,Unknown,21,21,No,Yes,NA,
Maeda,24,3,1960,Pygmy,73,M,No,-49,70,Unknown,20,20,No,Yes,NA,
Maeda,24,3,1960,Pygmy,70,M,No,-49,70,Unknown,16,16,Yes,No,NA,
Maeda,24,3,1960,Pygmy,76,M,No,-49,70,Unknown,34,34,No,Yes,NA,
Maeda,24,3,1960,Pygmy,70,F,Yes,-49,70,Mature,22,22,No,Yes,NA,
Maeda,25,3,1960,Pygmy,70,M,No,-48,70,Unknown,18,18,No,Yes,NA,
Maeda,25,3,1960,Pygmy,70,F,No,-48,70,Unknown,18,18,No,Yes,NA,
Maeda,25,3,1960,Pygmy,70,F,No,-48,70,Unknown,13,13,No,Yes,NA,
Maeda,25,3,1960,Pygmy,71,F,No,-48,70,Unknown,24,24,No,Yes,NA,
Maeda,25,3,1960,Pygmy,75,F,Yes,-48,70,Mature,28,28,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,32,32,No,Yes,NA,
Maeda,25,3,1960,Pygmy,77,M,No,-48,70,Unknown,15,15,No,Yes,NA,
Maeda,25,3,1960,Pygmy,76,F,No,-48,70,Unknown,26,26,No,Yes,NA,
Maeda,25,3,1960,Pygmy,77,F,No,-48,70,Unknown,21,21,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,19,19,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,20?,20,No,No,NA,
Maeda,25,3,1960,Pygmy,72,M,No,-48,70,Unknown,19,19,No,Yes,NA,
Maeda,25,3,1960,Pygmy,77,F,No,-48,70,Unknown,18,18,Yes,No,NA,
Maeda,25,3,1960,Pygmy,74,M,No,-48,70,Unknown,22,22,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,20,20,No,Yes,NA,
Maeda,25,3,1960,Pygmy,71,M,No,-48,70,Unknown,16,16,No,Yes,NA,
Maeda,25,3,1960,Pygmy,72,F,No,-48,70,Unknown,25,25,No,Yes,NA,
Maeda,25,3,1960,Pygmy,70,F,No,-48,70,Unknown,14,14,Yes,No,NA,
Maeda,25,3,1960,Pygmy,70,M,No,-48,70,Unknown,28,28,No,Yes,NA,
Maeda,25,3,1960,Pygmy,74,F,No,-48,70,Unknown,8,8,Yes,No,NA,
Maeda,25,3,1960,Pygmy,71,M,No,-48,70,Unknown,12,12,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,28,28,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,M,No,-48,70,Unknown,51,51,No,Yes,NA,
Maeda,25,3,1960,Pygmy,73,F,No,-48,70,Unknown,13,13,Yes,No,NA,
